장소,분류,운영시간,관광추천시간,주소
남면목욕탕,,정보없음,정보없음,강원도 양구군 남면 용하리 416-1
백두대간협곡열차,기타 관광 투어,정보없음,정보없음,대한민국 봉화군
국립횡성숲체원,기타 관광 투어,정보없음,정보없음,대한민국 헝성군
청간정,,정보없음,정보없음,강원도 고성 토성면 동해대로 (우) 24758
고성산,,정보없음,정보없음,강원도 고성군 간성읍 금수리
고양산 아람마을,,정보없음,정보없음,강원도 홍천군 서석면 아미산길 52-3 (우) 25166
구봉산 전망대 카페거리,,정보없음,정보없음,강원도 춘천 동면 순환대로 1154-113 (우) 24212
금강산타운,,정보없음,정보없음,강원도 철원 갈말읍 지포리 50-2
세방볼링센타,,정보없음,정보없음,서울 홍천읍 진리 5-10
속초스파랜드,,정보없음,정보없음,강원도 속초 교동 781-60
강릉시립미술관,,정보없음,정보없음,대한민국 강원도 강릉시 화부산로40번길 46
청도볼링장,,정보없음,정보없음,강원도 속초 청도읍 고수리 831-34
강릉중앙시장,"테마 거리, 시장/마켓",08:30-21:00 영업,정보없음,강원도 강릉시 금성로 21 강릉중앙시장 25543 대한민국
순포습지,,정보없음,정보없음,대한민국 강원도 강릉시 사천면
육림랜드,,정보없음,정보없음,강원도 춘천 영서로 2965 24235
계촌정보화마을,,정보없음,정보없음,강원도 평창군 방림면 계촌길 101 (우) 25364
원당계곡,,정보없음,정보없음,강원도 평창군 평창읍 원당리 25367
남애해수욕장,,정보없음,정보없음,강원도 양양군 현남면 광진리 78-20
동막골마을,,정보없음,정보없음,강원도 평창군 미탄면 율치리 252 (우) 25382
진부전통시장,,정보없음,정보없음,강원도 평창군 진부면 진부중앙로 61 (우) 25325
수항계곡,,정보없음,정보없음,진부면 수항리 87-1 | 강원도 평창군 진부면 수항리 25337
어름치마을,,정보없음,정보없음,강원도 평창군 미탄면 마하길 42-5 (우) 25384
평창둥강하,,정보없음,정보없음,강원도 평창군 미탄면 기화리 25384
철암탄광역사촌,도시 랜드 마크,10:00-17:00 영업,정보없음,강원도 태백시 철암동 403-59
태백시청,,정보없음,정보없음,강원 태백시 태붐로 21 태백시청
동해 북평 민속시장,,정보없음,정보없음,강원도 동해 오일장1길 3 (우) 25813
금강산건강랜드,,정보없음,정보없음,강원도 동해 부곡동 80
원주 허브 팜,농장,영업시간 추후 공지,정보없음,강원도 원주시 무실동 마장2길 33
대산계곡,,정보없음,정보없음,강원도 횡성군 서원면 옥계2길 25202
현대수콘도볼링장,,정보없음,정보없음,경기도 가평군 노학동 179
만해문학박물관,,정보없음,정보없음,"대한민국 강원도 인제군 북면 용대리, 1136-1"
몰운대,지질 명소,정보없음,정보없음,강원 정선군 화암면 몰운리 산43-1
도피안사,기타 종교 시설,정보없음,정보없음,강원도 철원군 동송읍 관우리 450
한탄리버스파,스파,정보없음,정보없음,동송읍 태봉로 1799-22 | 강원도 철원 한탄리버스파호텔 24023
토우볼링장,,정보없음,정보없음,경상북도 칠곡군 후평1동 704-15
박수근미술관,,정보없음,정보없음,강원도 양구군 양구읍 정리 131-1
양구전쟁기념관,,정보없음,정보없음,강원도 히구치군 반면 우리 622
대관령・신재생에너지전시관,,정보없음,정보없음,강원도 평창군 대관리 헝시리 14-297
강릉방해정,,정보없음,정보없음,강원도 강릉시 강동 8
등명락가사,,정보없음,정보없음,강원도 강릉시 강동면 정동리 17
경포가시연습지,,정보없음,정보없음,강원도 강릉시 민동 144-3
갯배,,정보없음,정보없음,강원도 속초시 추오동 482-17
물레길,,정보없음,정보없음,강원도 춘천시 송암동 644-23
휘닉스 스노 경기장,야외 스키,0.5-1일,정보없음,강원도 평창군 봉평면 태기로 174
동원썬밸리CC,,정보없음,정보없음,강원도 횡성군 서원면 서원서로339번길 90
영랑호 습지 생태공원,,정보없음,정보없음,대한민국 강원도 속초시 장사동
용머리공원,,정보없음,정보없음,강원도 양구군 양구읍 동수리
양양자전거테마공원,,정보없음,정보없음,강원도 양양군 손양면 학포리
양양송이조각공원,,정보없음,정보없음,강원도 양양군 양양읍 송암리 505-3
동내대룡공원,,정보없음,정보없음,강원도 춘천시 동내면 거두리
현암리소공원,,정보없음,정보없음,강원도 춘천시 서면 현암리
온의동소공원,,정보없음,정보없음,강원도 춘천시 온의동
충혼근린공원,,정보없음,정보없음,대한민국 강원도 춘천시 퇴계동
지석공원,,정보없음,정보없음,강원도 춘천시 퇴계동
말탕개미공원,,정보없음,정보없음,강원도 춘천시 후평동
뒷뜰공원,,정보없음,정보없음,강원도 춘천시 후평동
태백산국립공원천제단,,정보없음,정보없음,강원도 태백시 소도동
사랑공원,,정보없음,정보없음,강원도 평창군 대관령면 송천1길 39 강원도 평창군 대관령면 횡계리 674-4
올림픽빌리지근린공원,도시 공원,2-3시간,정보없음,강원도 평창군 대관령면 수하리 145-1
지르메희망공원,,정보없음,정보없음,강원도 평창군 대관령면 횡계리
계촌클래식공원,,정보없음,정보없음,강원도 평창군 방림면 계촌리
새마을지도자공원,,정보없음,정보없음,강원도 평창군 평창읍 종부리
남강로공원,,정보없음,정보없음,강원도 홍천군 내촌면 물걸리
효제곡공원,,정보없음,정보없음,강원도 홍천군 서석면 검산리 781-7
꽃뫼공원,,정보없음,정보없음,대한민국 강원도 홍천군 홍천읍 꽃뫼로 113
동해문화원,도시 랜드 마크,정보없음,정보없음,대한민국 강원도 동해시 평원로 17
삼악산,,정보없음,정보없음,대한민국 춘천시 삼악산
레고랜드,테마파크,09:00-18:00 영업,정보없음,강원도 춘천시 하중도길 128 레고랜드 코리아 리조트
무릉박물관,박물관,월요일-금요일 09:00-17:00 영업;토요일 09:00-13:00 영업,정보없음,강원도 원주시 흥업면 사제리 540
묵산미술관,박물관,정보없음,정보없음,강원도 영월군 김삿갓면 와석리 605
용연동굴,동굴,09:00-18:00 영업,정보없음,강원도 태백 화전동 산 47-69
강릉커피박물관,,정보없음,정보없음,강원도 강릉시 왕산면 초의로 2171-19
오죽헌시립박물관,전시홀,09:00-17:00 영업,정보없음,강원도 강릉시 경포동 율곡로3139번길
제2 땅굴,사적지,정보없음,정보없음,강원도 철원군 동송읍 태봉로 1825 (동송읍)
홍천 은행나무 숲,식물원,10:00-17:00 영업,정보없음,대한민국 강원도 홍천군 내면 광원리 686-4
계방산,,정보없음,정보없음,강원도 홍천 내면 창촌리 (우) 25312
에티오피아한국전참전기념관,기념관,화요일-일요일 09:00-18:00 영업,정보없음,대한민국 강원도 춘천시 근화동 이디오피아길 1
문암해변,,정보없음,정보없음,강원도 삼척 근덕면 매원리
그린아트,,정보없음,정보없음,강원도 춘천 죽림동 42-18
허균·허난설헌 기념공원,박물관,화요일-일요일 09:00-18:00 영업,정보없음,대한민국 강릉시 강원도 강릉시 난설헌로193번길 1-16 (초당동)
양구 근현대사박물관,박물관,화요일-일요일 09:00-18:00 영업,정보없음,강원도 양구군 양구읍 하리 501-1
365세이프타운,,정보없음,정보없음,강원도 태백 평화길 15 (우) 26047
기린사우나,,정보없음,정보없음,강원도 강릉 노암동 619-2
영동목욕탕,,정보없음,정보없음,강원도 강릉 교2동 165-59
대한사우나,,정보없음,정보없음,강원도 강릉 병산동 374-2
현산공원,도시 공원,정보없음,정보없음,강원도 양양군 양양읍 군행리
주문진항,항구/항만,연중무휴,정보없음,강릉시 주문진항
동치안산,,정보없음,정보없음,강원도 횡성 강림면 태종로 (우) 25273
안흥찐빵마을,도시 랜드 마크,정보없음,정보없음,강원도 횡성군 안흥면 안흥로 27 (우) 25271
태기산성,"군사 시설, 사적지",정보없음,정보없음,강원도 횡성군 둔내면 경강로 6013 (우) 25261
태풍루,,정보없음,정보없음,강원도 횡성군 횡성읍 대동로 8 (우) 25237
봉명 폭포,,정보없음,정보없음,강원도 횡성 청일면 봉명로 (우) 25253
설악산,산,정보없음,정보없음,대한민국 인제군 설악산
조양동,,정보없음,정보없음,대한민국 강원도 속초시 조양동
부광사,,정보없음,정보없음,강원도 속초시 동명동 579-2
이태극문학관,,정보없음,정보없음,강원 화천군 화천읍 호음로 1014-16
올림픽볼링장,,정보없음,정보없음,대한민국 강원도 속초시 청학동 640-13
천동대중사우나,,정보없음,정보없음,강원도 양양군 양양읍 남문리 29
금수모텔옥사우나,,정보없음,정보없음,강원도 고성군 거진읍 거탄진로 121 강원도 고성군 강원도 고성군
훼미리보석사우나,,정보없음,정보없음,강원도 태백 문곡소도동 106-8
평창 효석문화제,,정보없음,정보없음,강원도 평창군 봉평면 원길리 764-1
평창송어축제,문화 체험,정보없음,정보없음,강원도 평창군 진부면 경강로 3562 하진부리 25332
춘천 물레길,수상 액티비티,정보없음,정보없음,"춘천, 대한민국"
퍼니퍼니 오락실,,정보없음,정보없음,강원도 양구군 양구읍 삼영길 98 (우) 24525
하모니 관광유람선,,정보없음,정보없음,"속초, 대한민국"
태종대,,정보없음,정보없음,강원도 횡성군 강남면 태종로 287 (우) 25272
영시암,기타 종교 시설,정보없음,정보없음,강원도 인제군 북면 백담로 1125 (우) 24606
국순당 주향로,,정보없음,정보없음,강원도 횡성 둔내면 강변로 975 (우) 25266
김수정뷰티클럽,,정보없음,정보없음,강원도 강릉 임당동 40-19
강남사우나,,정보없음,정보없음,강원도 강릉시 이밤동 102-1
송정해수욕장,해변,연중무휴,정보없음,강원도 강릉 창해로 118 공공화장실 25556
용연사,,정보없음,정보없음,강원도 강릉 사천면 중앙서로 961 (우) 25438
속초해변자연박물관,,정보없음,정보없음,강원도 속초 해오름로 186-1 (우) 24887
평화의소녀상,기념비,정보없음,정보없음,수변공원길 18 | 강원도 춘천시 의암공원 24239
휘닉스 평창,,정보없음,정보없음,강원도 평창군 대화면 장미산길 14 (우) 25357
휘닉스 블루캐니언,,정보없음,정보없음,강원도 평창군 봉평면 태기로 174 (우) 25307
광천마을,,정보없음,정보없음,강원도 평창군 대화면 대화리 25356
대관령 하늘목장,,정보없음,정보없음,대한민국 강원도 평창군 대관령면 횡계리 470-5
대청봉,전망대,정보없음,정보없음,강원도 양양군 서면 오색리 산1
금당산,,정보없음,정보없음,강원도 평창군 용평면 재산리 25354
계방산마을,,정보없음,정보없음,강원도 평창군 용평면 노동리 25312
약초마을,,정보없음,정보없음,강원도 평창군 진부면 두일리 25321
동해기독교백화점,,정보없음,정보없음,청옥동 941 | 강원도 동해시 동해메트로마트 1층
장미공원,,정보없음,정보없음,"강원도 남한, 삼척시, 정상동, 416"
은성목욕탕,,정보없음,정보없음,강원도 동해시 무코진동 54
평화의댐 - 화천,도시 공원,정보없음,정보없음,강원도 화천군 화천읍 평화로 3481-18 (우) 24110
찜질방,,정보없음,정보없음,강원도 횡성군 갑천면 추동리 170
허브황토찜질방,,정보없음,정보없음,강원도 횡성군 우천면 백달리 335-3
올챙이추억전시관,,정보없음,정보없음,강원도 횡성군 둔내면 경강로 궁종1길 121-7 25266
횡성볼링장,,정보없음,정보없음,강원도 횡성군 횡성읍 읍리 107-18
보경사우나,스파,정보없음,정보없음,강원도 횡성군 횡성읍 북천리 137-1
홍천 토탈쌤 박물관,,정보없음,정보없음,강원도 홍천군 화촌면 구성포리
제4땅굴,,정보없음,정보없음,대한민국 강원도 양구군 해안면 땅굴로 454
국토정중앙천문대,,정보없음,정보없음,강원도 양구군 남쪽 돔촌리 96-5
상장동벽화마을,,정보없음,정보없음,강원도 태백시 황치동
해운정,,정보없음,정보없음,강원도 강릉시 윤정동 256
구문소,도시 랜드 마크,00:00-23:59 영업,정보없음,강원도 태백시 통디엔동 6-3
배꼽마을,테마파크,2-3시간,정보없음,강원도 양구군 남쪽 도원리
봉정암,,정보없음,정보없음,강원도 인제군 북쪽 용천리 690
원동성당,,정보없음,정보없음,강원도 원주시 원동 85-1
화암사,사적지,정보없음,정보없음,강원도 강원군 고성군 신평리산 136-1
샤인데일CC 클럽하우스,,정보없음,정보없음,강원도 홍천군 서면 한서로 247-156
사근진해중공원 전망대,도시 공원,정보없음,정보없음,강원도 강릉시 해안로604번길 16 강원도 강릉시 안현동 2-7
영랑호수공원,,정보없음,정보없음,강원도 속초시 동명동
수복탑공원,,정보없음,정보없음,강원도 속초시 동명동
황금연어공원,,정보없음,정보없음,강원도 양양군 강현면 물치리 7-5 강원도 양양군 강현면 동해대로 3594
로타리공원,,정보없음,정보없음,강원도 양양군 강현면 물치리 9-3
어린이교통공원,,정보없음,정보없음,강원도 양양군 현북면 장요리 4-10
만항소공원,,정보없음,정보없음,강원도 정선군 고한읍 고한리
버들고개공원,,정보없음,정보없음,대한민국 강원도 정선군 임계면 송계리
제2호문화공원,,정보없음,정보없음,강원도 춘천시 낙원동 86-1
석사양지공원,,정보없음,정보없음,강원도 춘천시 막사동
우석새싹공원,,정보없음,정보없음,강원도 춘천시 막사동
푸르미공원,,정보없음,정보없음,강원도 춘천시 막사동
새로움공원,,정보없음,정보없음,강원도 춘천시 막사동
드림공원,,정보없음,정보없음,강원도 춘천시 우두동
헌수공원,,정보없음,정보없음,강원도 춘천시 칠전동
무릉1공원,,정보없음,정보없음,강원도 춘천시 퇴계동
한들공원,,정보없음,정보없음,강원도 춘천시 퇴계동 1056
우묵들1공원,,정보없음,정보없음,강원도 춘천시 퇴계동 1157
물구비공원,,정보없음,정보없음,강원도 평창군 대화면 산안미리
가산공원,,정보없음,정보없음,강원도 평창군 봉평면 창동리 544
도토리공원,,정보없음,정보없음,강원도 평창군 진부면 두일리
송정4공원,,정보없음,정보없음,강원도 평창군 진부면 송정리
성동천수변공원,,정보없음,정보없음,강원도 홍천군 북방면 성동리
동학공원,,정보없음,정보없음,강원도 홍천군 서석면 풍암리
아미산군립공원,,정보없음,정보없음,강원도 홍천군 서석면 효제곡길 92-60 강원도 홍천군 서석면 검산리 산 102
갈마곡둔치공원,,정보없음,정보없음,강원도 홍천군 홍천읍 갈마곡리
태학공원,,정보없음,정보없음,강원도 홍천군 홍천읍 태학리
봉포해변,해변,정보없음,정보없음,대한민국 고성군 봉포해변
횡성향교,사적지,정보없음,정보없음,강원도 횡성군 향교로12번길 1 (우) 52753
얼음나라화천 산천어축제,문화 체험,정보없음,정보없음,강원도 화천군 화천읍 산천어길 137 (우) 24114
코리아인터내셔널스키스쿨,캠핑장,7:30-23:30 영업,정보없음,강원도 홍천군 서면 한치골길 619
육담폭포,폭포,정보없음,정보없음,대한민국 강원도 속초시 설악동
김유정레일바이크,"기타 관광 투어, 테마파크",3/1-10/31 09:00-17:30 영업;11/1-2/28 09:00-16:30 영업,정보없음,강촌레일파크 김유정역 강원도 춘천시 신동면 증리 323-2
석탄역사체험관,,영업시간 추후 공지,정보없음,대한민국 강원도 정선군 사북읍 사북리 387-27
용화산,,정보없음,정보없음,대한민국 춘천시 용화산
간현유원지,테마파크,연중무휴,정보없음,강원도 원주시 정지면 간현리 1056-5
오월리산림휴양림,숲,정보없음,정보없음,강원도 춘천 서면 오월리 산46-1
동해국립박물관,,정보없음,정보없음,강원도 동해 망상동 360-5
영월 곤충박물관,박물관,화요일-일요일 09:00-18:00 영업,정보없음,강원도 영월군 강원도 영월군 북면 영월로 1229
호안다구박물관,박물관,10:00-17:00 영업;09:00-18:00 영업,정보없음,강원도 영월군 김삿갓면 내계곡로 1088
준상이네집 (겨울연가 촬영지),도시 랜드 마크,0.5-1일,정보없음,강원도 춘천시 소양로2가 90-7
송지호해수욕장,해변,18:00-12:00 영업,정보없음,강원도 고성군 주광면 오호길 8 (우) 24747
배두둑호박넝쿨마을,,정보없음,정보없음,강원도 평창군 대화면 선내길 90 (우) 25362
감자꽃스튜디오,,정보없음,정보없음,강원도 평창군 평창읍 고길천로 105 (우) 25370
대관령아기동물농장,,정보없음,정보없음,강원도 강릉 사천면 송암골길 197-23 (우) 25439
산림박물관,,정보없음,정보없음,경기도 광명 사농동 218-5
그림화실,,정보없음,정보없음,강원도 태백 황지동 49-122
치악산한증원,온천 리조트,연중무휴,정보없음,강원도 원주시 웃거름터길 8-12
스노우나인,,정보없음,정보없음,강원도 홍천군 서면 한치골길 617-4 (우) 25101
황토뜨락,,정보없음,정보없음,강원도 강릉 옥계면 금진리 178-9
뷰티레몬,,정보없음,정보없음,강원도 속초 중앙동 475-5
동원스파월드,,정보없음,정보없음,강원도 원주시 행구동 1534-1
휘닉스찜질방,,정보없음,정보없음,대한민국 강원도 평창군 봉평면 면온리 916-1
대진,,정보없음,정보없음,강원도 춘천시 동면 금목길 228 KR
한탄강썬래프팅,"수상 액티비티, 수상 스포츠",정보없음,정보없음,대한민국 철원군
삼척 해양 레일바이크,"하이킹/사이클링, 하이킹/사이클링",정보없음,정보없음,강원도 삼척 근덕면 공양왕길 2
덕산기계곡,,정보없음,정보없음,강원도 정선군 화암면 북동리
발교산,,정보없음,정보없음,강원도 횡성 청일면 봉명로 (우) 25253
횡성 먹거리 단지,,정보없음,정보없음,강원도 횡성 횡성읍 횡성로 (우) 25239
천문인 마을,,정보없음,정보없음,강원도 횡성군 강남면 워란1길 82 (우) 25272
취석정,,정보없음,정보없음,강원도 횡성군 서원면 취석로 130 (우) 25201
횡성호수길,,정보없음,정보없음,강원도 횡성군 갑천면 섬강로 1055 (우) 25252
에코 800 태기산 트레킹로,,정보없음,정보없음,강원도 횡성군 둔내면 경강로 6013 (우) 25261
평창 올림픽 스타디움,경기장/스타디움,정보없음,정보없음,강원도 평창군 대관령면 올림픽로 200 (우) 25347
주문진 방사제,해협/피오르,정보없음,정보없음,강원도 강릉 주문진읍 해안로 1609 (우) 25424
왕산골펜션,,정보없음,정보없음,강원 강릉시 왕산면 왕산로 2157-7
강릉통일공원 함정전시관,,정보없음,정보없음,대한민국 강릉 강동면 안인진리 3-5
춘천경찰서,,정보없음,정보없음,강원 춘천시 효자동 590-1번지
원주공항,현대 건축물,연중무휴,정보없음,강원도 횡성군 횡성읍 곡교리 111-1
학사평 순두부 마을,,정보없음,정보없음,강원도 속초시 원암학사평길 142 (노학동)
속초시 노학동,,정보없음,정보없음,강원도 속초시 노학동
Gyeongpo Fwangtobul Hanjeungmak,,정보없음,정보없음,강원도 강릉 죽헌동 323-4
Daegwanryeong 24Si Bulhanjeungmak Sauna,,정보없음,정보없음,강원도 강릉 성산면 어흘리 567-3
Jumun Jinjuhyeop Haesu Sauna,,정보없음,정보없음,강원도 강릉 주문진읍 교항리 184-92
Viking Haesu Land,,정보없음,정보없음,강원도 고성군 신용리 거류면 979-3
Imgye Welfare Hall Bath House,,정보없음,정보없음,강원도 정선군 임계면 송계리 782
Phoenix Park G.C,,정보없음,정보없음,강원도 평창군 봉평면 태기로 174
Korea Parrot House,,정보없음,정보없음,759; 운두령로; 용평면; 대한민국 강원도 평창군
Molwundae Cliff,,정보없음,정보없음,"Morun-ri, Hwaam-myeon San43-1, Jeongseon-gun, Gangwon-do South Korea"
Chujeon Station,도시 랜드 마크,정보없음,정보없음,"San 123, Hwajeon-dong, Taebaek, Gangwon-do South Korea"
Herb Nara Nongwon,농장,정보없음,정보없음,"225, Heungjeonggyegok-gil, Bongpyeong-myeon, Pyeongchang-gun, Gangwon-do South Korea"
Alpaca World,,정보없음,정보없음,"310, Pungcheon-ri, Hwachon-myeon, Hongcheon-gun, Gangwon-do South Korea"
강원 쥬라기랜드,,정보없음,정보없음,강원도 횡성군 서원면 경강로 646-18 25200
원주 강원감영,사적지,09:00-22:00 영업,1-2시간,강원도 원주시 일산동 54-1
삼척볼링장,,정보없음,정보없음,강원도 삼척 남양동 94-10
향토솔잎찜질방,,정보없음,정보없음,강원도 횡성군 공근면 상동리 610-2
횡성 스포랜드,,정보없음,정보없음,강원도 횡성 공근면 금계로 380-57 (우) 25206
천은사,,정보없음,정보없음,강원도 삼척 미로면 동안로 816 (우) 25903
장호어촌체험마을,,정보없음,정보없음,강원도 삼척 근덕면 장호항길 31 (우) 25938
소나타 오브 라이트,도시 랜드 마크,18:00-22:00 영업,정보없음,강원도 원주시 조정면 오크밸리1길 66 (우) 26357
점봉산 곰배령,,정보없음,정보없음,강원도 인제군 기린면 곰배령길 12 (우) 24653
헌화로,테마 거리,연중무휴,정보없음,강동면 헌화로 | 강원도 강릉 헌화로 해안도로 25631 대한민국
피라미드 황토방,,정보없음,정보없음,강원도 강릉 주문진읍 향호리 8-22
평화의소녀상,기념비,00:00-23:59 영업,정보없음,경포로 330 | 강원도 강릉 3.1운동기념공원 25466
경포호,호수,정보없음,정보없음,대한민국 강원도 강릉시 저동 94
DVD디지털영화관,,정보없음,정보없음,강원도 춘천 삭주로 74 (우) 24259
아리랑 문화관,,정보없음,정보없음,전라북도 김제시 부량면 용성리 226-23
평창올림픽시장,"테마 거리, 시장/마켓",07:00-20:00 영업,정보없음,대한민국 강원도 평창군 평창읍 평창시장1길 10
대관령 눈꽃마을,,정보없음,정보없음,강원도 평창군 대관령면 차항리 316
팔석정,,정보없음,정보없음,강원도 평창군 봉평면 평촌리 903-17
해담마을,,정보없음,정보없음,강원도 양양군 서면 서림리 128
황토구들마을,,정보없음,정보없음,강원도 평창군 용평면 의풍포길 23-10 (우) 25316
수하계곡,,정보없음,정보없음,강원도 평창군 미탄면 한탄리 501-1 (우) 25382
봉평전통시장,"테마 거리, 시장/마켓",08:00-16:00 영업,정보없음,강원도 평창군 봉평면 창동리 397-26 (우) 25303
하이원추추파크,기타 관광 투어,정보없음,정보없음,대한민국 강원도 삼척시 도계읍 심포남길 99
태양의후예 태백세트장,,정보없음,정보없음,강원도 태백 통골길 112 (우) 26029
청솔사우나,,정보없음,정보없음,강원도 태백시 황지동 662
동해시수협수산물유통센터,,정보없음,정보없음,강원도 동해시 묵호동 15-85
짚라인 설악,비행 투어,정보없음,정보없음,강원도 고성군 토성면 원암리 403-1
정선아리랑시장,"테마 거리, 시장/마켓",06:00-22:00 영업,정보없음,강원도 정선군 정선읍 봉양리 349-20
한얼문예박물관,,정보없음,정보없음,강원도 횡성군 우천면 경강로 2885-2 (우) 25244
중앙사우나,,정보없음,정보없음,강원도 고성군 고성읍 서월리 1-10
신대계곡,,정보없음,정보없음,강원도 횡성군 청일면 신대리
소구니계곡,,정보없음,정보없음,강원도 횡성군 청일면 유평리
화성목욕탕,,정보없음,정보없음,강원도 횡성군 횡성읍 읍파리 79-6
두타연,폭포,1/1-2/28(겨울) 09:00-16:00 영업;3/1-10/31(여름) 09:00-17:00 영업;11/1-12/31(겨울) 09:00-16:00 영업,정보없음,강원 양구군 방산면 두타연로 297
영월화석박물관,,정보없음,정보없음,강원도 영월군 주천면 판운리 203-19
설악산 토왕성폭포,,정보없음,정보없음,강원도 속초시 설악동 41-0
추암조각공원,,정보없음,정보없음,강원도 동암동
보덕사,,정보없음,정보없음,강원도 영월군 영월읍 영흥리 1110
안목해변카페거리,테마파크,09:00-23:00 영업,2-3시간,강원도 강릉시 강원동
의암호스카이워크,,정보없음,정보없음,강원도 춘천시 우루시다동 486
두타연계곡,,정보없음,정보없음,강원도 양산군 강서리
고성왕곡마을,,정보없음,정보없음,강원도 고성군 다케왕면 고봉리 399
고석정국민관광지,도시 랜드 마크,연중무휴,정보없음,강원도 태원군 동송읍 창흥리 20-1
등명해수욕장,,정보없음,정보없음,강원도 강릉시 강동면 정동진리 440-7
"신복사지삼층석탑,석불좌상",,정보없음,정보없음,강원도 강릉시 탄동 403
정선알파인경기장,,정보없음,정보없음,강원도 정선군 베이평면 수암리 400
망월사,,정보없음,정보없음,강원도 성양군 고세리 1-20
아우라지관광지,,정보없음,정보없음,강원도 정선군 영면 연리 770
라데나 골프클럽,,정보없음,정보없음,강원 춘천시 신동면 정족리 1007-1 라데나클럽
골든비치cc,,정보없음,정보없음,강원도 양양군 손양면 공항로 230 KR
강릉안목해맞이공원,,정보없음,정보없음,강원도 강릉시 견소동 287-6
남산공원,,정보없음,정보없음,강원도 강릉시 노암동
장사항바다숲공원,도시 공원,정보없음,정보없음,강원도 속초시 장사동
지경공원,,정보없음,정보없음,강원도 양양군 현남면 지경리
신남공원,,정보없음,정보없음,강원도 인제군 남면 신남리
북평3리소공원,,정보없음,정보없음,강원도 정선군 북평면 북평리
함백탄광기념공원,,정보없음,정보없음,강원도 정선군 신동읍 방제리 산 117-5
노일공원,,정보없음,정보없음,강원도 정선군 신동읍 예미리
작은너근령소공원,,정보없음,정보없음,강원도 정선군 임기면 송계리
푸른숲공원,도시 공원,정보없음,정보없음,강원도 춘천시 동면 장학리
가로공원,,정보없음,정보없음,강원도 춘천시 동산면 조양리
태극공원,,정보없음,정보없음,강원도 춘천시 막사동
상록공원,,정보없음,정보없음,강원도 춘천시 우두동
후평새싹공원,,정보없음,정보없음,강원도 춘천시 후평동
태백산국립공원,,정보없음,정보없음,강원도 태백시 태백산로 4778 강원도 태백시 소도동 47-20
쌈지공원,,정보없음,정보없음,강원도 평창군 대관령면 송천3길 21 강원도 평창군 대관령면 횡계리 279-251
노산근린공원,,정보없음,정보없음,강원도 평창군 평창읍 중리
기미만세공원,,정보없음,정보없음,강원도 홍천군 내촌면 물걸리 592
장승공원,,정보없음,정보없음,강원도 홍천군 북방면 화동리
수렴동계곡,협곡,정보없음,정보없음,대한민국 인제군 강원 인제군 북면 용대2리
평화의 소녀상,기념비,정보없음,정보없음,엑스포로 140 | 강원도 속초 청초호 호수공원 24854 대한민국
횡성전통시장,,정보없음,정보없음,대한민국 강원도 횡성군 횡성읍 읍상리 277-3
오봉산,,정보없음,정보없음,대한민국 춘천시 오봉산
횡성테마랜드,,정보없음,정보없음,강원도 횡성군 우천면 두곡리 545
고성가시오가피농장,식물원,정보없음,정보없음,강원도 고성군 거진읍 거진운동장길 53 (우) 24719
홍천테마파크,박물관,정보없음,정보없음,강원도 홍천군 서석면 구룡령로 2800-22 (우) 25167
고씨 동굴,,09:00-18:00 영업,정보없음,강원도 영월 김삿갓면 진별리 산262
용화해수욕장,해변,연중무휴,정보없음,강원도 삼척 근덕면 삼척로 (우) 25932
청옥산,산,정보없음,정보없음,강원도 평창 미탄면 회동리 (우) 25380
백덕산,산,정보없음,정보없음,강원도 평창 방림면 운교리 (우) 25366
장미산,,정보없음,정보없음,강원도 평창 대화면 개수리 (우) 25357
삼방산,,정보없음,정보없음,강원도 영월 북면 공기리 (우) 25371
장군바위산,,정보없음,정보없음,강원도 평창 대관령면 유천리 (우) 25339
국립산악박물관,박물관,화요일-일요일 09:00-17:00 영업,정보없음,대한민국 강원도 속초시 노학동 735
흰구름산촌마을,,정보없음,정보없음,강원도 평창군 미탄면 창터길 29-10 (우) 25383
영월종교미술박물관,,정보없음,정보없음,강원도 영월군 북면 문곡리 101-1
원주 소금산 출렁다리,다리,영업시간 추후 공지,0.5-1시간,강원도 원주시 원주시 수정면 소금산길 26 (우) 26359
병방치 스카이워크,,09:00-18:00 영업,정보없음,강원도 정선군 정선읍 병방치길 225
궁전보석사우나,,정보없음,정보없음,강원도 강릉 포남1동 1123-16
송원불가마,,정보없음,정보없음,강원도 강릉 교1동 1202
용암불한증막,스파,연중무휴,정보없음,강원도 화천군 하남면 용암리 887
동해목욕탕,,정보없음,정보없음,강원도 동해 발한동 300-8
남애항,항구/항만,연중무휴,정보없음,강원도 양양 현남면 남애리2-77
고석정,자연 보호 구역,00:00-23:59 영업,정보없음,강원도 철원군 동송읍 태봉로 1825 (우) 24023
동명항,항구/항만,정보없음,정보없음,강원도 속초 동명동
임해자연휴양림,,정보없음,정보없음,강원도 강릉시 강동면 율곡로 1715-85
망향의 동산,,정보없음,정보없음,강원도 횡성군 갑천면 태기로구방5길 40 (우) 25259
세덕사,,정보없음,정보없음,강원도 횡성군 횡성읍 덕고마을길 30 (우) 25243
네덜란드군참전기념비,"기념비, 사적지",정보없음,정보없음,강원도 횡성군 우천면 하늘로 우항2길 3 (우) 25248
낙수대 폭포,,정보없음,정보없음,강원도 횡성군 청일면 신대리
응향원 도예방,,정보없음,정보없음,강원도 횡성군 강림면 주천강로 340 (우) 25272
